DATE,TRANSECT_ID,SITE,SPECIES,ROAMING_SYSTEMATIC,NUMBER_INDIVIDUALS,DETECTION_TIME_STAMP,TRANSECT_START_TIME,ADJUSTED_DETECTION_TIME,LIFESTAGE,SCREENGRAB_LINK
3/22/2025,2025_03_22_Deering_3.1,DEERING,SBAR,SYSTEMATIC,2,0:02:07,11:11:00 AM,11:13:07 AM,UNKNOWN,https://drive.google.com/file/d/1VcWUtY4aAEFQwZL65BG7tMjfbW4XVAIN/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.1,DEERING,SBAR,SYSTEMATIC,1,0:03:20,11:11:00 AM,11:14:20 AM,UNKNOWN,https://drive.google.com/file/d/1_wqZAJW76mgTV1ujsYabN00NcRscEmCq/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,0:05:11,11:11:00 AM,11:16:11 AM,UNKNOWN,https://drive.google.com/file/d/1wbuu53uHMtDS71DxV_MJKrpqqH59XZM7/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.2,DEERING,SBAR,SYSTEMATIC,1,0:01:16,11:17:00 AM,11:18:16 AM,UNKNOWN,https://drive.google.com/file/d/18P0z9og6ZkjeydOWMWRn1qhVQqjMpY8E/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.2,DEERING,SBAR,SYSTEMATIC,1,0:01:22,11:17:00 AM,11:18:22 AM,UNKNOWN,https://drive.google.com/file/d/1w6HyYetLzLTYCm7zPkv7Urge1jscQx4t/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.2,DEERING,SBAR,SYSTEMATIC,2,0:01:25,11:17:00 AM,11:18:25 AM,UNKNOWN,https://drive.google.com/file/d/1cQmBKrsGNesk6FYdcGSnMxOrZDwpqzh9/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.2,DEERING,SBAR,SYSTEMATIC,2,0:02:11,11:17:00 AM,11:19:11 AM,UNKNOWN,https://drive.google.com/file/d/1D192DYaBLh-z69WyhozXkjoBKVFfseN8/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.2,DEERING,GCIR,SYSTEMATIC,1,0:03:03,11:17:00 AM,11:20:03 AM,SUBADULT,https://drive.google.com/file/d/1fzU8t5CNYcjdIJ_C7sN4lujeGLisS_tw/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.2,DEERING,STIB,SYSTEMATIC,1,0:03:19,11:17:00 AM,11:20:19 AM,UNKNOWN,https://drive.google.com/file/d/1oea2Aqpmqp6p_ouWP7HRd--gRpUKuHRJ/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.R.1,DEERING,CLEU,ROAMING,1,0:01:21,11:22:00 AM,11:23:21 AM,JUVENILE,https://drive.google.com/file/d/1cQmBKrsGNesk6FYdcGSnMxOrZDwpqzh9/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.R.2,DEERING,ANAR,ROAMING,1,0:00:41,11:31:00 AM,11:31:41 AM,UNKNOWN,https://drive.google.com/file/d/13ZjGlpxJ_ZwGIVYmZjU-WgVtKXs8-Jb0/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.R.2,DEERING,HAME,ROAMING,1,0:00:06,11:36:00 AM,11:36:06 AM,UNKNOWN,https://drive.google.com/file/d/13rXHnAcDzbq0j2duTp4WLd8HtFYrWmgZ/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.R.2,DEERING,CLEU,ROAMING,1,0:00:06,11:36:00 AM,11:36:06 AM,UNKNOWN,https://drive.google.com/file/d/1pc67HAz8mr85coNDDYN5KUqhWyzDNeHN/view?usp=drive_link
3/22/2025,2025_03_22_Deering_2.2,DEERING,HAME,SYSTEMATIC,1,0:01:55,12:18:00 PM,12:19:55 PM,UNKNOWN,https://drive.google.com/file/d/1DEVwCPdFTOznusJlPt_kAFfRnK0gTPv0/view?usp=drive_link
3/29/2025,2025_03_29_Deering_1.1,DEERING,CCAR,SYSTEMATIC,1,0:02:02,10:49:00 AM,10:51:02 AM,SUBADULT,
3/29/2025,2025_03_29_Deering_1.2,DEERING,CCAR,SYSTEMATIC,1,0:01:36,10:54:00 AM,10:55:36 AM,SUBADULT,
3/29/2025,2025_03_29_Deering_2.2,DEERING,MATL,SYSTEMATIC,3,0:02:46,12:24:00 PM,12:26:46 PM,UNKNOWN,
4/6/2025,2025_04_06_Deering_3.2,DEERING,MATL,SYSTEMATIC,2,0:01:41,3:16:00 PM,3:17:41 PM,UNKNOWN,https://drive.google.com/file/d/1ieyqmIhss1R_uyDZc3FdPcGjn-l3TVLf/view?usp=sharing
4/27/2025,2025_04_26_Deering_1.1,DEERING,MATL,SYSTEMATIC,1,0:00:41,9:20:00 AM,9:20:41 AM,UNKNOWN,https://drive.google.com/file/d/15vJ-Vfi8lpURLwFf9yn3EfbXVO9uaUZ0/view?usp=drive_link
5/25/2025,2025_05_25_Deering_1.1,DEERING,HAME,SYSTEMATIC,1,0:52:00,9:19:00 AM,10:11:00 AM,UNKNOWN, 
5/25/2025,2025_05_25_Deering_2.1,DEERING,HAME,SYSTEMATIC,1,2:30:00,10:15:00 AM,12:45:00 PM,UNKNOWN,
5/25/2025,2025_05_25_Deering_2.2,DEERING,HAME,SYSTEMATIC,1,0:08:00,10:19:00 AM,10:27:00 AM,UNKNOWN,
5/25/2025,2025_05_25_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,0:09:00,11:00:00 AM,11:09:00 AM,UNKNOWN,
5/25/2025,2025_05_25_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,1:46:00,11:00:00 AM,12:46:00 PM,UNKNOWN,
5/25/2025,2025_05_25_Deering_3.2,DEERING,,,,,,,,
5/25/2025,2025_05_25_Deering_3.2,DEERING,TMAN,SYSTEMATIC,1,1:23:00,11:17:00 AM,12:40:00 PM,ADULT,
6/1/2025,2025_06_01_Deering_2.1,DEERING,HAME,SYSTEMATIC,1,0:34:00,12:29:00 AM,1:03:00 AM,,
6/1/2025,2025_06_01_Deering_2.2,DEERING,HAME,SYSTEMATIC,1,0:11:00,10:30:00 AM,10:41:00 AM,,
6/8/2025,2025_06_08_Deering_1.1,DEERING,HAME,SYSTEMATIC,1,1:51:00,9:04:00 AM,10:55:00 AM,,
6/8/2025,2025_06_08_Deering_1.2,DEERING,HAME,SYSTEMATIC,1,0:12:00,9:08:00 AM,9:20:00 AM,,
6/8/2025,2025_06_08_Deering_1.2,DEERING,HAME,SYSTEMATIC,1,1:46:00,9:08:00 AM,10:54:00 AM,,
6/8/2025,2025_06_08_Deering_2.1,DEERING,,SYSTEMATIC,1,,,,,
6/8/2025,2025_06_08_Deering_2.1,DEERING,,SYSTEMATIC,1,,,,,
6/8/2025,2025_06_08_Deering_2.1,DEERING,,SYSTEMATIC,1,,,,,
6/8/2025,2025_06_08_Deering_3.1,DEERING,,SYSTEMATIC,1,,,,,
6/8/2025,2025_06_08_Deering_3.2,DEERING,,SYSTEMATIC,1,,,,,
6/14/2025,2025_06_14_Deering_2.1,DEERING,,SYSTEMATIC,1,,,,,
6/14/2025,2025_06_14_Deering_2.2,DEERING,CLEU,SYSTEMATIC,,,10:13:00 AM,,,
6/14/2025,2025_06_14_Deering_2.2,DEERING,SBAR,SYSTEMATIC,,,10:16:00 AM,,,
6/15/2025,2025_06_15_Deering_3.2,DEERING,HAME,SYSTEMATIC,1,,10:22:00 AM,,,
6/28/2025,2025_06_28_Deering_2.1,DEERING,HAME,SYSTEMATIC,1,,11:38:00 AM,,,
6/28/2025,2025_06_28_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,,12:22:00 PM,,,
6/28/2025,2025_06_28_Deering_3.1,DEERING,,SYSTEMATIC,1,,12:22:00 PM,,,
7/8/2025,2025_07_08_Deering_1.1,DEERING,,SYSTEMATIC,1,,9:34:00 AM,,,
7/8/2025,2025_07_08_Deering_2.1,DEERING,CCAR,SYSTEMATIC,1,,10:04:00 AM,,,
7/8/2025,2025_07_08_Deering_2.1,DEERING,HAME,SYSTEMATIC,1,,10:04:00 AM,,,
7/8/2025,2025_07_08_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,,10:47:00 AM,,,
7/8/2025,2025_07_08_Deering_3.2,DEERING,SBAR,SYSTEMATIC,3,,10:51:00 AM,,,
7/9/2025,2025_07_09_Deering_1.1,DEERING,,SYSTEMATIC,1,,9:26:00 AM,,,
7/9/2025,2025_07_09_Deering_2.1,DEERING,HAME,SYSTEMATIC,1,,10:03:00 AM,,,
7/9/2025,2025_07_09_Deering_2.2,DEERING,CLEU,SYSTEMATIC,1,,10:06:00 AM,,,
7/9/2025,2025_07_09_Deering_3.1,DEERING,CCAR,SYSTEMATIC,1,,10:35:00 AM,,,
7/9/2025,2025_07_09_Deering_3.2,DEERING,HAME,SYSTEMATIC,1,,10:39:00 AM,,,
7/18/2025,2025_07_18_Deering_2.1,DEERING,CLEU,SYSTEMATIC,1,,10:48:00 AM,,,
7/18/2025,2025_07_18_Deering_3.1,DEERING,,SYSTEMATIC,1,,11:26:00 AM,,,
7/18/2025,2025_07_18_Deering_3.2,DEERING,,SYSTEMATIC,1,,11:30:00 AM,,,
7/27/2025,2025_07_27_Deering_1.2,DEERING,HAME,SYSTEMATIC,1,,9:18:00 AM,,,
7/27/2025,2025_07_27_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,,10:10:00 AM,,,
7/27/2025,2025_07_27_Deering_3.2,DEERING,HAME,SYSTEMATIC,1,,10:14:00 AM,,,
